No.,Region,Platform,kol_account,kol_url,,
1,Europe,tiktok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7335173112780180768,,
2,Europe,tiktok,keepingupwiththekilics,https://www.tiktok.com/@keepingupwiththekilics/video/7334730444564352289,,13
3,Europe,youtube,TechNuov,https://www.youtube.com/shorts/7OR6zFH1pdI,,
4,Europe,youtube,CSS,https://www.youtube.com/watch?v=2WnQnTxIraI,,
5,Europe,youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=B2jDmstYDWk,,
6,Europe,youtube,Mister Quindi,https://www.youtube.com/watch?v=Aqyml-stfrw,,
7,Europe,youtube,Tech Room UK,https://www.youtube.com/watch?v=9H4vjdoqGjc,,
8,Europe,youtube,Jx - Unboxing & High-Tech,https://www.youtube.com/watch?v=1r4Srd-Ksuk&t=1s,,
9,Europe,youtube,I-AleX,https://www.youtube.com/watch?v=gX41J8tiEq8,,
10,Europe,youtube,Giuseppe Gravante - Tech,https://www.youtube.com/watch?v=29akASqcJHA,,
11,Europe,youtube,Moschuss,https://www.youtube.com/watch?v=_1GcU_-5fkY,,
12,Europe,youtube,XTOM CICOS - Tech,https://www.youtube.com/watch?v=67GySjz9RPU&t=71s,,
13,Europe,tiktok,braindegeek,https://www.tiktok.com/@braindegeek/video/7383316816786984225,,
14,Europe,youtube,I-AleX,https://www.youtube.com/watch?v=bTj5_MyELwQ&t=323s,,
15,Europe,youtube,AudioTechniker,https://www.youtube.com/watch?v=yOAnHd6t_K4,,
16,Europe,youtube,Chigz Tech Reviews,https://www.youtube.com/watch?v=Dwadx3Andi8,,
17,Europe,youtube,Tech Geek,https://www.youtube.com/watch?v=4-LBZ6_JkVo,,
18,Europe,youtube,Mr.UnboxTour,https://www.youtube.com/watch?v=s1wiihJ-C6k,,
19,Europe,youtube,Tech Room UK,https://www.youtube.com/watch?v=VnNzMxlDaDA,,
20,Europe,youtube,GADGET CRUNCH,https://www.youtube.com/watch?v=e2hKaHSBkt8&t=174s,,
21,Europe,youtube,Tech Nuovo,https://www.youtube.com/shorts/DKI_uKrHFg4,,
22,Europe,youtube,,https://www.youtube.com/watch?v=9G2gBwTTZqI,,
23,Europe,youtube,I-AleX,https://www.youtube.com/shorts/doXZE4FIhZU?feature=share,,
24,Europe,tiktok,Braindegeek,https://www.tiktok.com/@braindegeek/video/7413445818516098337,,
25,Europe,youtube,,https://www.youtube.com/shorts/8X2vzg_I8J8,,
26,Europe,tiktok,annaa_cologne,https://vm.tiktok.com/ZNewaSoyN/,,
27,Europe,youtube,DirtyLama,https://www.youtube.com/watch?v=YCXAGDdc_bE,,
28,Europe,youtube,Tech Room UK,https://www.youtube.com/watch?v=aw-T1845RGA,,
29,Europe,youtube,I-Alex,https://www.youtube.com/watch?v=JBG2bNzVNlU,,
30,Europe,youtube,DHRME,https://www.youtube.com/watch?v=CZVmBcaGX8Q,,
31,Europe,youtube,Tech Nuovo,https://www.youtube.com/shorts/tRjM__zX5w8,,
32,Europe,youtube,Chigz Tech Reviews,https://www.youtube.com/watch?v=MNHb4hNQPkI,,
33,Europe,youtube,Chigz Tech Reviews,https://www.youtube.com/shorts/UhJN4hGXlhw,,
34,Europe,youtube,Speakershocker Hi-Fi Mehr als nur Technik,https://www.youtube.com/watch?v=svzDCq7dBCw,,
35,Europe,youtube,Smart Home Sounds,https://www.youtube.com/watch?v=DbQbE2sPxSY,,
36,Europe,youtube,Stu’s Reviews,https://www.youtube.com/watch?v=b0MCqAWkhnY,,
37,Europe,youtube,DIrtylama,https://youtu.be/WAvZGNzVjU8?si=WmUbLcgbZkXPupXz,,
38,Europe,youtube,DIrtylama,https://www.youtube.com/watch?v=Ftgp2eOEbrw,,
39,US,tiktok,tylercheri,https://www.tiktok.com/@tylercheri/video/7333373296693595438,,
40,US,youtube,michael_stout79,https://www.youtube.com/watch?v=3IRpHMHK2SE&t=379s,,
41,US,youtube,Wanna Buy It,https://www.youtube.com/watch?v=N5xwyWqqLmg&t=269s,,
42,US,youtube,Brannon No d,https://www.youtube.com/watch?v=_NSo_YBC0AU&t=214s,,
43,US,youtube,CEONTHEMAKING,https://www.youtube.com/watch?v=3B7bvTtPDFE,,
44,US,youtube,Eric Hernandez,https://www.youtube.com/watch?v=N_agsg9ZmJI,,
45,US,youtube,Tech With RR,https://www.youtube.com/watch?v=bXM423Uc5NI&t=1s,,
46,US,youtube,TK Bay,https://www.youtube.com/watch?v=Ys-9rPJpJzU&t=1s,,
47,US,youtube,EnforcerMan,https://www.youtube.com/watch?v=vxRl4yTY-jQ&t=612s,,
48,US,tiktok,the.atn,https://www.tiktok.com/@the.atn/video/7425803047441337642?_t=8qd2L3N5GZz&_r=1,,
49,US,youtube,Cut2Cut Reviews,https://www.youtube.com/watch?v=QN35oyEVQXk&t=40s,,
50,US,youtube,TechUtopia,https://www.youtube.com/watch?v=chsuteQKWMc&t=13s,,
51,US,youtube,Epic Review Hub,https://www.youtube.com/watch?v=TFtKPo_ZUtQ,,
52,US,youtube,Brannon No d,https://www.youtube.com/watch?v=_Gks93gudp0&t=14s,,
53,US,youtube,Eric Hernandez,https://www.youtube.com/watch?v=_Gks93gudp0&t=14s,,
54,US,youtube,Winter's Reviews,https://www.youtube.com/watch?v=gbQAhvQvA7s&t=14s,,
55,US,amazon,Mohsen Canada,https://www.amazon.com/live/video/08030f9e97134ed499215574cbfbee2e?ref_=asvh_vdp,,
56,US,youtube,TK Bay,https://www.youtube.com/watch?v=vj5h-Smhsbc,,
57,US,youtube,The Average Tech Guy,https://www.youtube.com/watch?v=4d72i3aj1D0,,
58,US,youtube,Consumer Tech Review,https://www.youtube.com/watch?v=AAx-0uy2FYQ,,
59,US,youtube,Danny Pops,https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s,,
60,US,youtube,Digital Slang,https://www.youtube.com/watch?v=TY7dGyZ6VhA,,
61,US,tiktok,larad_official,https://www.tiktok.com/@larad_official/video/7407070918532451615,,
62,US,youtube,michael_stout79,https://www.youtube.com/watch?v=4xPexsuk0hU&t=530s,,
63,US,tiktok,jackiekxhl,https://www.tiktok.com/@jackiekxhl/video/7412814055410355487,,
64,US,amazon,TheChrisReview,https://www.amazon.com/live/video/05c0798085eb45f2aaa286e61c7e1f19?ref_=asvh_vdp,,
65,US,youtube,TheChrisReview,https://youtu.be/-ZM75wBlP5s,,
66,US,youtube,GH Tech Review,https://www.youtube.com/shorts/T7ckGXiM1T0,,
67,US,tiktok,kerraezgi,https://www.tiktok.com/@kerraezgi/video/7434575065720556843?_r=1&_t=8rD4cIt2rB0,,
68,US,instagram,kerraezgi,https://www.instagram.com/reel/DCE63ArOPbF/,,
69,US,youtube,Eli Euley,https://www.youtube.com/watch?v=j0uSs4i9FOg,,
70,US,amazon,thechrisreview,https://www.amazon.com/live/video/04fac320ffe949c6b4732f6438f5aa1a?ref_=asvh_vdp,,
71,US,youtube,thechrisreview,https://youtube/RANWSqfbpGA,,
72,US,youtube,Unbox Therapy,https://www.youtube.com/shorts/gDOjHj1RZeM,,
73,US,tiktok,Unbox Therapy,https://www.tiktok.com/@unboxtherapyofficial/video/7430137577279212805?lang=en,,
74,US,instagram,Unbox Therapy,instagram.com/unboxtherapy,,
75,US,facebook,Unbox Therapy,facebook.com/unboxtherapy,,
76,US,youtube,TK BAY,https://www.youtube.com/watch?v=gJi5evL_Oyw,,
77,US,youtube,Happy Ajula,https://www.youtube.com/watch?v=_dvZrLaChGQ,,
78,US,youtube,HansTechTalk,https://www.youtube.com/watch?v=Y2Br_tCUPKg,,
79,US,youtube,Dannypops,https://www.youtube.com/watch?v=IwlqWQzAtrE,,
80,US,youtube,Eric Hernandez,https://youtu.be/3uZcv68uNH8,,
